Song_ID,Chart_Year,Chart_Position,Title,Num_of_Artists,Artist(s),Main_ArtistOne_ID,Main_ArtistTwo_ID,Main_ArtistThree_ID,Main_ArtistFour_ID,Featured_ArtistOne_ID,Featured_ArtistTwo_ID,Featured_ArtistThree_ID,Released_Date,Genre_ID,Song_Length,Album,log Spotify_streams,Spotify_Streams,Genre_ID,Genre_Type
142,2021,42,Wockesha,1,Moneybagg Yo,177,,,,,,,6/4/2021,14,180,A Gangsta's Pain,8.181284448,151804431,14,Hip-Hop
143,2021,43,You Right,2,Doja Cat and the Weeknd,69,251,,,,,,7/9/2021,26,186,Planet Her,8.970237457,933764710,26,R&B
144,2021,44,Beat Box 2 / Beat Box 3,3,SpotemGottem featuring Pooh Shiesty / SpotemGottem featuring DaBaby,235,,,,205,59,,4/1/2021,14,181,Final Destination,7.661297367,45845569,14,Hip-Hop
145,2021,45,Laugh Now Cry Later,2,Drake featuring Lil Durk,72,,,,152,,,8/14/2020,14,261,Laugh Now Cry Later,9.009958261,1023194651,14,Hip-Hop
146,2021,46,Need to Know,1,Doja Cat,69,,,,,,,6/9/2021,26,210,Planet Her,9.108481675,1283753601,26,R&B
147,2021,47,Wants and Needs,2,Drake featuring Lil Baby,72,,,,151,,,3/5/2021,14,192,Scary Hours 2,8.938077535,867116669,14,Hip-Hop
148,2021,48,Way 2 Sexy,3,Drake featuring Future and Young Thug,72,,,,89,275,,9/3/2021,14,257,Certified Lover Boy,8.78239267,605888445,14,Hip-Hop
149,2021,49,Telepatía,1,Kali Uchis,133,,,,,,,11/23/2020,20,160,Sin Miedo (del Amor y Otros Demonios),9.136789218,1370216580,20,Latin Pop
150,2021,50,Whoopty,1,CJ,52,,,,,,,8/7/2020,14,123,Whoopty,8.915814331,823785855,14,Hip-Hop
151,2021,51,Lemonade,4,Internet Money and Gunna featuring Don Toliver and Nav,107,96,,,70,185,,12/4/2020,14,195,B4 The Storm,9.157741498,1437942426,14,Hip-Hop
152,2021,52,Good Days,1,SZA,243,,,,,,,12/25/2020,26,278,SOS,8.138477442,137555336,26,R&B
